id,slug,name
2623,gypsy-woman,Gypsy Woman
1931,gyspsy-biker,Gyspsy Biker
2669,hail-hail-rock-n-roll,Hail Hail Rock 'n' Roll
120,haiti,Haiti
3401,halem,Halem
2321,half-japanese,Half Japanese
3379,half-measure,Half Measure
1844,hall-and-oates,Hall and Oates
157,hall-of-fame,Hall of Fame
1811,halloween,Halloween
309,hamburg,Hamburg
423,hamilton,Hamilton
1890,hammersmith-odeon,Hammersmith Odeon
411,hampton,Hampton
841,hang-on-sloopy,Hang on Sloopy
954,hang-up-my-rock-and-roll-shoes,Hang Up My Rock and Roll Shoes
251,hanging-rock,Hanging Rock
1711,hank-ballard,Hank Ballard
1980,hank-williams,Hank Williams
1028,hanover,Hanover
2418,happy,Happy
1201,hard-rock-calling,Hard Rock Calling
3393,hard-times-come-again-no-more,Hard Times Come Again No More
3566,hard-travelin-hootenanny,Hard Travelin' Hootenanny
3529,harold-dorman,Harold Dorman
1957,harry-chapin,Harry Chapin
906,harry-kalas,Harry Kalas
3347,harry-manx-and-kevin-breit,Harry Manx and Kevin Breit
3256,harry-pane,Harry Pane
1458,harry-potter,Harry Potter
3365,harry-reser,Harry Reser
2463,harrys-place,Harry's Place
246,hartford,Hartford
1809,haunted-house,Haunted House
971,hava-nagila,Hava Nagila
2762,have-a-good-time-but-get-out-alive,Have a Good Time... But Get Out Alive
742,have-love-will-travel,Have Love Will Travel
1490,havin-a-party,Havin' a Party
1047,having-a-party,Having a Party
2860,he-was-a-friend-of-mine,He Was a Friend of Mine
3300,hes-a-rebel,He's a Rebel
341,hes-guilty,He's Guilty
2811,hes-guilty-the-judge-song,He's Guilty (The Judge Song)
2874,hes-sure-the-boy-i-love,He's Sure the Boy I Love
3484,hes-the-one,He's the One
2289,hear-the-world-foundation,Hear the World Foundation
2906,heart-full-of-soul,Heart Full of Soul
1029,heartbreak-hotel,Heartbreak Hotel
802,hearts-of-stone,Hearts of Stone
