title,url,published,updated
MatR: Patti Scialfa and Bruce Springsteen: Loves Glory,/2020/03/08/matr-patti-scialfa-and-bruce-springsteen-loves-glory/,2020-03-08T05:00:00-07:00,2020-03-08T06:43:35-07:00
"MatR: Nicky Addeo, Bruce Springsteen and Friends: Crying in the Chapel",/2020/02/22/matr-nicky-addeo-bruce-springsteen-and-friends-crying-in-the-chapel/,2020-02-22T05:00:00-08:00,2020-02-25T20:16:54-08:00
MatR: Bruce Springsteen and Martha Reeves: Heat Wave,/2020/02/18/matr-bruce-springsteen-and-martha-reeves-heat-wave/,2020-02-18T05:00:00-08:00,2020-12-20T10:38:29-08:00
"Cover Me: I’m Bad, I’m Nationwide",/2020/02/17/cover-me-im-bad-im-nationwide/,2020-02-17T05:00:00-08:00,2020-02-17T05:31:38-08:00
"Cover Me, Southside Johnny and Ronnie Spector: You Mean So Much to Me",/2020/02/16/cover-me-southside-johnny-and-ronnie-spector-you-mean-so-much-to-me/,2020-02-16T05:00:00-08:00,2020-02-16T05:11:22-08:00
"MatR: Bruce Springsteen and Garland Jeffreys, 96 Tears",/2020/02/15/matr-bruce-springsteen-and-garland-jeffreys-96-tears/,2020-02-15T05:00:00-08:00,2020-12-20T10:36:20-08:00
"MatR: Billy Joel, Bruce Springsteen and the E Street Band: Only the Good Die Young",/2020/02/10/matr-billy-joel-bruce-springsteen-and-the-e-str/,2020-02-10T05:00:00-08:00,2020-02-10T05:07:50-08:00
"MatR: Patti Scialfa (and Bruce Springsteen), Play Around",/2020/02/06/matr-patti-scialfa-and-bruce-springsteen-play-around/,2020-02-06T05:00:00-08:00,2020-02-06T05:44:05-08:00
MatR: Dropkick Murphys and Bruce Springsteen: Peg o’ My Heart,/2020/02/03/matr-dropkick-murphys-and-bruce-springsteen-peg-o-my-heart/,2020-02-03T05:00:00-08:00,2020-12-20T10:32:33-08:00
MatR: Bob Seger and Bruce Springsteen: Old Time Rock and Roll,/2020/02/01/matr-bob-seger-and-bruce-springsteen-old-time-rock-and-roll/,2020-02-01T05:00:00-08:00,2020-01-26T13:43:49-08:00
"MatR: Bob Dylan, Bruce Springsteen, and Neil Young: Rainy Day Women #12 & 35",/2020/01/29/matr-bob-dylan-bruce-springsteen-and-neil-young/,2020-01-29T05:00:00-08:00,2020-01-29T04:36:51-08:00
MatR: Steve Earle and Bruce Springsteen: Dead Flowers,/2020/01/25/matr-steve-earle-and-bruce-springsteen-dead-flowers/,2020-01-25T05:00:00-08:00,2021-12-19T16:42:04-08:00
MatR: Mike Ness and Bruce Springsteen: Misery Loves Company,/2020/01/22/matr-mike-ness-and-bruce-springsteen-misery-loves-company/,2020-01-22T05:00:00-08:00,2020-01-22T06:02:52-08:00
MatR: Bruce Springsteen and Gary U.S. Bonds: Soul Deep,/2020/01/17/matr-bruce-springsteen-and-gary-u-s-bonds-soul-deep/,2020-01-17T05:00:00-08:00,2020-12-19T05:21:33-08:00
MatR: Bruce Springsteen and Beaver Brown: Do You Want to Dance,/2020/01/06/matr-bruce-springsteen-and-beaver-brown-do-you-want-to-dance/,2020-01-06T05:00:00-08:00,2020-01-06T05:09:55-08:00
MatR: Bruce Springsteen and Sonny Kenn & The Wild Ideas: Rip It Up,/2019/12/31/matr-bruce-springsteen-and-sonny-kenn-the-wild-ideas-rip-it-up/,2019-12-31T05:00:00-08:00,2019-12-29T11:20:43-08:00
"MatR: Bruce Springsteen and Roger McGuinn, Mr. Tambourine Man",/2019/12/28/matr-bruce-springsteen-and-roger-mcguinn-mr-tambourine-man/,2019-12-28T05:00:00-08:00,2021-12-19T16:21:36-08:00
"MatR: Garland Jeffreys and Bruce Springsteen, R.O.C.K.",/2019/12/04/matr-garland-jeffreys-and-bruce-springsteen-r-o-c-k/,2019-12-04T04:51:00-08:00,2023-01-01T12:33:30-08:00
"MatR: Dr. John and Bruce Springsteen: Right Place, Wrong Time",/2019/12/02/matr-dr-john-and-bruce-springsteen-right-place-wrong-time/,2019-12-02T05:00:00-08:00,2019-12-01T18:28:12-08:00
"MatR: Bruce Springsteen and Jah Love, One Love/People Get Ready",/2019/11/28/matr-bruce-springsteen-and-jah-love-one-love-people-get-ready/,2019-11-28T05:00:00-08:00,2019-11-28T05:37:20-08:00
"MatR: Bruce Springsteen and Beaver Brown, Money (That’s What I Want)",/2019/11/26/matr-bruce-springsteen-and-beaver-brown-money-thats-what-i-want/,2019-11-26T05:00:00-08:00,2021-01-07T20:31:41-08:00
MatR: Bruce Springsteen and Southside Johnny: Soothe Me,/2022/10/03/matr-bruce-springsteen-and-southside-johnny-soothe-me/,2022-10-03T05:00:00-07:00,2022-10-02T19:10:57-07:00
MatR/RotD: Bruce Springsteen and Jimmy Fallon: Gov. Christie Traffic Jam,/2022/08/31/matr-rotd-bruce-springsteen-and-jimmy-fallon-go/,2022-08-31T05:00:00-07:00,2022-08-31T06:43:15-07:00
MatR: The Rolling Stones and Bruce Springsteen: Tumbling Dice,/2022/08/17/matr-the-rolling-stones-and-bruce-springsteen-tumbling-dice/,2022-08-17T05:00:00-07:00,2023-01-03T08:37:17-08:00
"MatR: Bruce Springsteen, Jerry Lee Lewis, and Joe Ely: Great Balls of Fire",/2022/08/10/matr-bruce-springsteen-jerry-lee-lewis-and-joe-/,2022-08-10T05:00:00-07:00,2024-01-03T15:59:29-08:00
MatR: John Mellencamp and Bruce Springsteen: A Life Full of Rain,/2022/07/31/matr-john-mellencamp-and-bruce-springsteen-a-life-full-of-rain/,2022-07-31T05:00:00-07:00,2024-01-03T15:53:47-08:00
"MatR: John Eddie, Bruce Springsteen, and Friends: Hey Tonight",/2022/07/21/matr-john-eddie-bruce-springsteen-and-friends-hey-tonight/,2022-07-21T05:00:00-07:00,2022-07-21T06:44:39-07:00
"MatR: Roy Orbison, Bruce Springsteen and Friends: Ooby Dooby",/2022/07/11/matr-roy-orbison-bruce-springsteen-and-friends-ooby-dooby/,2022-07-11T05:00:00-07:00,2024-01-03T15:50:55-08:00
RotD/MatR: Joe Grushecky and Bruce Springsteen: Homestead,/2022/06/25/rotd-matr-joe-grushecky-and-bruce-springsteen-homestead/,2022-06-25T05:00:00-07:00,2024-01-03T15:43:54-08:00
MatR: Bleachers and Bruce Springsteen: Chinatown,/2022/05/24/matr-bleachers-and-bruce-springsteen-chinatown/,2022-05-24T05:00:00-07:00,2024-01-03T15:25:20-08:00
MatR: Bruce Springsteen and the Asbury Park All-Star Revue: It Ain’t the Meat (It’s the Motion),/2022/05/16/matr-bruce-springsteen-and-the-asbury-park-all-/,2022-05-16T05:00:00-07:00,2022-05-15T22:08:09-07:00
MatR: Little Steven and Bruce Springsteen: Can I Get a Witness,/2019/11/16/matr-little-steven-and-bruce-springsteen-can-i-get-a-witness/,2019-11-16T05:00:00-08:00,2019-11-15T12:04:54-08:00
"MatR: Bruce Springsteen and Cats on a Smooth Surface: Rock Baby, Rock It",/2019/11/12/matr-bruce-springsteen-and-cats-on-a-smooth-sur/,2019-11-12T05:00:00-08:00,2019-11-12T06:20:56-08:00
"MatR: John Fogerty and Bruce Springsteen, Fortunate Son",/2019/11/09/matr-john-fogerty-and-bruce-springsteen-fortunate-son/,2019-11-09T05:00:00-08:00,2023-01-01T12:13:15-08:00
"MatR: Alejandro Escovedo and Bruce Springsteen, Faith",/2019/11/04/matr-alejandro-escovedo-and-bruce-springsteen-faith/,2019-11-04T03:54:00-08:00,2019-11-04T03:53:30-08:00
